scenario,episode,eval_reward
baseline,10,-123817.0
baseline,20,-33093.0
baseline,30,-47717.0
baseline,40,-33290.0
baseline,50,-25769.0
baseline,60,-25362.0
baseline,70,-26974.0
baseline,80,-24932.0
baseline,90,-24185.0
baseline,100,-25723.0
baseline,110,-25009.0
baseline,120,-25597.0
baseline,130,-25793.0
baseline,140,-25557.0
baseline,150,-27586.0
baseline,160,-25197.0
baseline,170,-26552.0
baseline,180,-25649.0
baseline,190,-26422.0
baseline,200,-28627.0
baseline,210,-24605.0
baseline,220,-21348.0
baseline,230,-28531.0
baseline,240,-23813.0
baseline,250,-25313.0
baseline,260,-25613.0
baseline,270,-23186.0
baseline,280,-26175.0
baseline,290,-24045.0
baseline,300,-23128.0
baseline,310,-25153.0
baseline,320,-24418.0
baseline,330,-24941.0
baseline,340,-24502.0
baseline,350,-24654.0
baseline,360,-25345.0
baseline,370,-25166.0
baseline,380,-26681.0
baseline,390,-27160.0
baseline,400,-24396.0
baseline,410,-25136.0
baseline,420,-27413.0
baseline,430,-24382.0
baseline,440,-23298.0
baseline,450,-26419.0
baseline,460,-25443.0
baseline,470,-24525.0
baseline,480,-24071.0
baseline,490,-24838.0
baseline,500,-28739.0
