Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-126849.0,-163012.0,-91588.0,-145808.0
10,-1927340.0,-208950.0,-113797.0,-145808.0
15,-1076231.0,-263464.0,-117210.0,-145808.0
20,-370485.0,-1219111.0,-193105.0,-145808.0
25,-211259.0,-121995.0,-132663.0,-145808.0
30,-275324.0,-98554.0,-149738.0,-145808.0
35,-278994.0,-66337.0,-101162.0,-145808.0
40,-255849.0,-129946.0,-143186.0,-145808.0
45,-1982505.0,-86875.0,-185439.0,-145808.0
50,-177306.0,-131976.0,-107614.0,-145808.0
55,-1669889.0,-212872.0,-91878.0,-145808.0
60,-204825.0,-148239.0,-721116.0,-145808.0
65,-509926.0,-100559.0,-240934.0,-145808.0
70,-146314.0,-1509981.0,-210116.0,-145808.0
75,-112386.0,-521197.0,-155977.0,-145808.0
80,-147388.0,-154350.0,-1305260.0,-145808.0
85,-575947.0,-109116.0,-206062.0,-145808.0
90,-156837.0,-206337.0,-156420.0,-145808.0
95,-263415.0,-127117.0,-126466.0,-145808.0
100,-709856.0,-95873.0,-123949.0,-145808.0
