Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-238873.0,-384075.0,-1521474.0,-142614.0
10,-460053.0,-83742.0,-91692.0,-142614.0
15,-249792.0,-130855.0,-106563.0,-142614.0
20,-2181239.0,-107027.0,-124991.0,-142614.0
25,-1360842.0,-113276.0,-132598.0,-142614.0
30,-153821.0,-95610.0,-797888.0,-142614.0
35,-95966.0,-80819.0,-931890.0,-142614.0
40,-280852.0,-1751559.0,-201901.0,-142614.0
45,-124983.0,-187344.0,-197204.0,-142614.0
50,-339761.0,-174753.0,-255111.0,-142614.0
55,-181334.0,-148425.0,-141532.0,-142614.0
60,-170060.0,-226711.0,-194102.0,-142614.0
65,-998996.0,-95526.0,-314928.0,-142614.0
70,-1595334.0,-981776.0,-172632.0,-142614.0
75,-637763.0,-1092972.0,-126908.0,-142614.0
80,-1235677.0,-150364.0,-111798.0,-142614.0
85,-168430.0,-276329.0,-146711.0,-142614.0
90,-168180.0,-165788.0,-359576.0,-142614.0
95,-140143.0,-138716.0,-86869.0,-142614.0
100,-95753.0,-512912.0,-95150.0,-142614.0
