scenario,episode,eval_reward
cross_surge,10,-117633.0
cross_surge,20,-1015481.0
cross_surge,30,-126980.0
cross_surge,40,-1248509.0
cross_surge,50,-1248509.0
cross_surge,60,-1248509.0
cross_surge,70,-153829.0
cross_surge,80,-117679.0
cross_surge,90,-106063.0
cross_surge,100,-90845.0
cross_surge,110,-89870.0
cross_surge,120,-85674.0
cross_surge,130,-86307.0
cross_surge,140,-93116.0
cross_surge,150,-98671.0
cross_surge,160,-93688.0
cross_surge,170,-95839.0
cross_surge,180,-228807.0
cross_surge,190,-88311.0
cross_surge,200,-90505.0
cross_surge,210,-91158.0
cross_surge,220,-84296.0
cross_surge,230,-81959.0
cross_surge,240,-84105.0
cross_surge,250,-1248509.0
cross_surge,260,-94574.0
cross_surge,270,-83248.0
cross_surge,280,-83459.0
cross_surge,290,-85577.0
cross_surge,300,-86917.0
cross_surge,310,-80369.0
cross_surge,320,-91987.0
cross_surge,330,-89430.0
cross_surge,340,-83123.0
cross_surge,350,-86804.0
cross_surge,360,-85393.0
cross_surge,370,-80493.0
cross_surge,380,-85326.0
cross_surge,390,-95384.0
cross_surge,400,-81917.0
cross_surge,410,-85684.0
cross_surge,420,-81342.0
cross_surge,430,-84680.0
cross_surge,440,-87455.0
cross_surge,450,-91081.0
cross_surge,460,-81965.0
cross_surge,470,-90040.0
cross_surge,480,-91003.0
cross_surge,490,-89023.0
cross_surge,500,-97789.0
