Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
5,-966975.0,-932045.0,-833924.0,-31433.0,-46443.0
10,-815296.0,-865268.0,-860768.0,-31433.0,-46443.0
15,-1010939.0,-1019831.0,-806059.0,-31433.0,-46443.0
20,-789722.0,-901253.0,-816761.0,-31433.0,-46443.0
25,-971399.0,-805339.0,-795320.0,-31433.0,-46443.0
30,-887291.0,-861641.0,-881071.0,-31433.0,-46443.0
35,-950977.0,-732813.0,-938931.0,-31433.0,-46443.0
40,-912835.0,-888771.0,-772459.0,-31433.0,-46443.0
45,-844100.0,-980912.0,-618364.0,-31433.0,-46443.0
50,-893855.0,-951784.0,-851335.0,-31433.0,-46443.0
55,-817903.0,-946627.0,-782479.0,-31433.0,-46443.0
60,-876465.0,-957306.0,-783154.0,-31433.0,-46443.0
65,-849544.0,-690176.0,-785990.0,-31433.0,-46443.0
70,-828897.0,-910856.0,-752980.0,-31433.0,-46443.0
75,-934850.0,-907183.0,-753870.0,-31433.0,-46443.0
80,-882493.0,-927853.0,-715486.0,-31433.0,-46443.0
85,-1008416.0,-846871.0,-662467.0,-31433.0,-46443.0
90,-1039814.0,-941200.0,-703545.0,-31433.0,-46443.0
95,-981022.0,-923098.0,-744125.0,-31433.0,-46443.0
100,-778582.0,-869957.0,-692875.0,-31433.0,-46443.0
