Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-109296.0,-110573.0,-63642.0,-138674.0
10,-78280.0,-72483.0,-745288.0,-138674.0
15,-109828.0,-144281.0,-1716678.0,-138674.0
20,-102778.0,-156658.0,-200953.0,-138674.0
25,-131959.0,-121935.0,-112927.0,-138674.0
30,-138237.0,-131703.0,-120607.0,-138674.0
35,-895665.0,-216943.0,-121973.0,-138674.0
40,-123029.0,-145336.0,-145093.0,-138674.0
45,-273785.0,-77141.0,-122537.0,-138674.0
50,-784671.0,-127664.0,-196013.0,-138674.0
55,-156526.0,-110477.0,-169223.0,-138674.0
60,-378224.0,-256493.0,-196991.0,-138674.0
65,-275529.0,-91115.0,-1485136.0,-138674.0
70,-135095.0,-175969.0,-97968.0,-138674.0
75,-181393.0,-2067443.0,-85487.0,-138674.0
80,-132739.0,-1628531.0,-120286.0,-138674.0
85,-86938.0,-118399.0,-158579.0,-138674.0
90,-74478.0,-73861.0,-90268.0,-138674.0
95,-355016.0,-238648.0,-164786.0,-138674.0
100,-133811.0,-93672.0,-215684.0,-138674.0
