Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-78560.0,-56883.0,-344591.0,-112116.0
10,-115294.0,-584568.0,-92692.0,-112116.0
15,-454720.0,-60928.0,-60383.0,-112116.0
20,-70497.0,-133917.0,-51377.0,-112116.0
25,-63276.0,-91667.0,-111457.0,-112116.0
30,-179021.0,-110437.0,-258231.0,-112116.0
35,-176380.0,-86259.0,-166217.0,-112116.0
40,-127334.0,-115389.0,-63763.0,-112116.0
45,-193521.0,-94125.0,-495222.0,-112116.0
50,-79279.0,-85295.0,-212524.0,-112116.0
55,-1223378.0,-133776.0,-252495.0,-112116.0
60,-126020.0,-134110.0,-108479.0,-112116.0
65,-1674505.0,-148522.0,-623817.0,-112116.0
70,-134603.0,-112267.0,-69866.0,-112116.0
75,-126890.0,-82196.0,-128073.0,-112116.0
80,-74352.0,-106699.0,-94516.0,-112116.0
85,-86968.0,-57942.0,-91687.0,-112116.0
90,-76592.0,-85533.0,-140957.0,-112116.0
95,-89777.0,-197047.0,-154475.0,-112116.0
100,-232796.0,-115998.0,-60274.0,-112116.0
