Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
10,-438175.0,-568865.0,-613499.0,-31470.0,-49193.0
20,-520718.0,-237936.0,-608154.0,-31470.0,-49193.0
30,-506351.0,-438926.0,-552976.0,-31470.0,-49193.0
40,-524850.0,-345908.0,-439747.0,-31470.0,-49193.0
50,-516395.0,-637567.0,-456839.0,-31470.0,-49193.0
60,-824657.0,-473891.0,-401920.0,-31470.0,-49193.0
70,-366893.0,-382026.0,-431327.0,-31470.0,-49193.0
80,-473381.0,-466286.0,-333062.0,-31470.0,-49193.0
90,-530763.0,-575998.0,-253225.0,-31470.0,-49193.0
100,-395294.0,-445222.0,-255940.0,-31470.0,-49193.0
110,-341118.0,-398185.0,-484412.0,-31470.0,-49193.0
120,-548685.0,-650053.0,-381037.0,-31470.0,-49193.0
130,-622265.0,-450141.0,-323405.0,-31470.0,-49193.0
140,-610404.0,-481945.0,-137881.0,-31470.0,-49193.0
150,-372119.0,-525955.0,-138576.0,-31470.0,-49193.0
160,-586940.0,-475388.0,-224489.0,-31470.0,-49193.0
170,-372978.0,-523505.0,-102570.0,-31470.0,-49193.0
180,-430118.0,-470016.0,-248792.0,-31470.0,-49193.0
190,-572392.0,-431058.0,-213316.0,-31470.0,-49193.0
200,-667754.0,-356705.0,-195726.0,-31470.0,-49193.0
210,-543530.0,-414050.0,-149904.0,-31470.0,-49193.0
220,-416998.0,-445301.0,-232430.0,-31470.0,-49193.0
230,-316486.0,-464651.0,-264153.0,-31470.0,-49193.0
240,-556238.0,-416946.0,-218495.0,-31470.0,-49193.0
250,-444868.0,-423693.0,-203097.0,-31470.0,-49193.0
260,-480290.0,-577128.0,-198508.0,-31470.0,-49193.0
270,-500633.0,-539115.0,-207020.0,-31470.0,-49193.0
280,-442709.0,-423197.0,-198141.0,-31470.0,-49193.0
290,-558078.0,-372624.0,-259165.0,-31470.0,-49193.0
300,-558898.0,-443182.0,-258253.0,-31470.0,-49193.0
310,-363403.0,-381819.0,-174967.0,-31470.0,-49193.0
320,-529334.0,-558033.0,-229282.0,-31470.0,-49193.0
330,-532269.0,-416177.0,-328718.0,-31470.0,-49193.0
340,-503383.0,-450318.0,-406274.0,-31470.0,-49193.0
350,-517430.0,-532935.0,-358656.0,-31470.0,-49193.0
360,-534075.0,-497842.0,-365857.0,-31470.0,-49193.0
370,-478274.0,-333272.0,-447875.0,-31470.0,-49193.0
380,-657024.0,-374528.0,-423268.0,-31470.0,-49193.0
390,-596036.0,-325925.0,-397836.0,-31470.0,-49193.0
400,-505274.0,-627215.0,-443502.0,-31470.0,-49193.0
410,-380601.0,-412562.0,-339029.0,-31470.0,-49193.0
420,-377262.0,-352775.0,-134230.0,-31470.0,-49193.0
430,-323300.0,-444247.0,-105921.0,-31470.0,-49193.0
440,-364245.0,-609380.0,-169335.0,-31470.0,-49193.0
450,-510996.0,-325007.0,-199555.0,-31470.0,-49193.0
460,-509743.0,-450191.0,-205225.0,-31470.0,-49193.0
470,-687146.0,-302798.0,-125121.0,-31470.0,-49193.0
480,-699320.0,-420869.0,-189105.0,-31470.0,-49193.0
490,-492665.0,-390878.0,-196331.0,-31470.0,-49193.0
500,-387634.0,-411185.0,-225233.0,-31470.0,-49193.0
