scenario,episode,eval_reward
baseline,10,-255684.0
baseline,20,-48736.0
baseline,30,-32008.0
baseline,40,-26849.0
baseline,50,-43917.0
baseline,60,-25432.0
baseline,70,-29701.0
baseline,80,-32442.0
baseline,90,-22567.0
baseline,100,-25062.0
baseline,110,-23880.0
baseline,120,-25355.0
baseline,130,-26065.0
baseline,140,-24666.0
baseline,150,-25241.0
baseline,160,-23445.0
baseline,170,-24833.0
baseline,180,-24945.0
baseline,190,-27414.0
baseline,200,-26530.0
baseline,210,-27523.0
baseline,220,-26913.0
baseline,230,-23550.0
baseline,240,-24884.0
baseline,250,-27593.0
baseline,260,-28151.0
baseline,270,-25644.0
baseline,280,-22738.0
baseline,290,-24727.0
baseline,300,-23709.0
baseline,310,-23941.0
baseline,320,-25919.0
baseline,330,-24117.0
baseline,340,-26213.0
baseline,350,-31041.0
baseline,360,-25910.0
baseline,370,-26266.0
baseline,380,-24384.0
baseline,390,-25562.0
baseline,400,-24152.0
baseline,410,-25995.0
baseline,420,-22352.0
baseline,430,-25066.0
baseline,440,-23415.0
baseline,450,-22617.0
baseline,460,-21591.0
baseline,470,-25226.0
baseline,480,-24588.0
baseline,490,-23387.0
baseline,500,-30378.0
