Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-1776458.0,-77680.0,-37371.0,-113014.0
10,-78226.0,-328699.0,-505077.0,-113014.0
15,-57751.0,-95401.0,-186821.0,-113014.0
20,-78886.0,-73650.0,-66782.0,-113014.0
25,-174490.0,-75896.0,-56239.0,-113014.0
30,-107700.0,-83581.0,-115253.0,-113014.0
35,-69377.0,-73891.0,-254419.0,-113014.0
40,-137244.0,-81226.0,-98331.0,-113014.0
45,-82851.0,-92886.0,-85195.0,-113014.0
50,-92233.0,-110911.0,-94735.0,-113014.0
55,-1370841.0,-73337.0,-136045.0,-113014.0
60,-104561.0,-116477.0,-238033.0,-113014.0
65,-71635.0,-67691.0,-67147.0,-113014.0
70,-221011.0,-205122.0,-99655.0,-113014.0
75,-127449.0,-102777.0,-31576.0,-113014.0
80,-48810.0,-70103.0,-125742.0,-113014.0
85,-67147.0,-82621.0,-189733.0,-113014.0
90,-58977.0,-91878.0,-107694.0,-113014.0
95,-83139.0,-143857.0,-89882.0,-113014.0
100,-77727.0,-152210.0,-114262.0,-113014.0
