Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
10,-46782.0,-61931.0,-229109.0,-115411.0
20,-101480.0,-45077.0,-597456.0,-115411.0
30,-74667.0,-90745.0,-49040.0,-115411.0
40,-47434.0,-40805.0,-62325.0,-115411.0
50,-64151.0,-90939.0,-64187.0,-115411.0
60,-91510.0,-50931.0,-86274.0,-115411.0
70,-87460.0,-49000.0,-70037.0,-115411.0
80,-79333.0,-247715.0,-157382.0,-115411.0
90,-109355.0,-61736.0,-112175.0,-115411.0
100,-100549.0,-94651.0,-165559.0,-115411.0
110,-150615.0,-92453.0,-78078.0,-115411.0
120,-131965.0,-133164.0,-77513.0,-115411.0
130,-82365.0,-77604.0,-86397.0,-115411.0
140,-88136.0,-92408.0,-89727.0,-115411.0
150,-185238.0,-76385.0,-144110.0,-115411.0
160,-108222.0,-124708.0,-74778.0,-115411.0
170,-83833.0,-84428.0,-112384.0,-115411.0
180,-82448.0,-1010926.0,-135596.0,-115411.0
190,-193601.0,-195041.0,-83115.0,-115411.0
200,-100045.0,-120495.0,-251643.0,-115411.0
210,-300962.0,-113423.0,-150175.0,-115411.0
220,-144796.0,-130364.0,-114071.0,-115411.0
230,-65030.0,-65034.0,-238228.0,-115411.0
240,-103044.0,-1198437.0,-92189.0,-115411.0
250,-85528.0,-113958.0,-134905.0,-115411.0
260,-63466.0,-105102.0,-119048.0,-115411.0
270,-219769.0,-91486.0,-129718.0,-115411.0
280,-200930.0,-106006.0,-87219.0,-115411.0
290,-98062.0,-734175.0,-89278.0,-115411.0
300,-94671.0,-65691.0,-77802.0,-115411.0
310,-197781.0,-104083.0,-39820.0,-115411.0
320,-124421.0,-39296.0,-62050.0,-115411.0
330,-124562.0,-93488.0,-79148.0,-115411.0
340,-54325.0,-241096.0,-124431.0,-115411.0
350,-121278.0,-68896.0,-116518.0,-115411.0
360,-109153.0,-57494.0,-141697.0,-115411.0
370,-118838.0,-100082.0,-53415.0,-115411.0
380,-92800.0,-72740.0,-72275.0,-115411.0
390,-121730.0,-43272.0,-93093.0,-115411.0
400,-155896.0,-110191.0,-52748.0,-115411.0
410,-52993.0,-175148.0,-219068.0,-115411.0
420,-76967.0,-75179.0,-38936.0,-115411.0
430,-181700.0,-136419.0,-50577.0,-115411.0
440,-66166.0,-76267.0,-184993.0,-115411.0
450,-139331.0,-50333.0,-69519.0,-115411.0
460,-92400.0,-50310.0,-37606.0,-115411.0
470,-89689.0,-56056.0,-25946.0,-115411.0
480,-142414.0,-33774.0,-30419.0,-115411.0
490,-77344.0,-59131.0,-37798.0,-115411.0
500,-60419.0,-49066.0,-38821.0,-115411.0
