Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-298128.0,-199572.0,-1281455.0,-258054.0
10,-672406.0,-198785.0,-352892.0,-258054.0
15,-227646.0,-305220.0,-331270.0,-258054.0
20,-295128.0,-1765415.0,-1023617.0,-258054.0
25,-186384.0,-191416.0,-245036.0,-258054.0
30,-932426.0,-180660.0,-654524.0,-258054.0
35,-225706.0,-274678.0,-236706.0,-258054.0
40,-436491.0,-221904.0,-304563.0,-258054.0
45,-171346.0,-1246955.0,-191541.0,-258054.0
50,-558434.0,-479100.0,-244280.0,-258054.0
55,-164400.0,-190239.0,-161988.0,-258054.0
60,-192332.0,-166926.0,-206670.0,-258054.0
65,-169870.0,-184733.0,-214358.0,-258054.0
70,-163030.0,-184389.0,-169337.0,-258054.0
75,-269306.0,-1146967.0,-218414.0,-258054.0
80,-477360.0,-162568.0,-158233.0,-258054.0
85,-306824.0,-262435.0,-173861.0,-258054.0
90,-256197.0,-836018.0,-152715.0,-258054.0
95,-302903.0,-559505.0,-234894.0,-258054.0
100,-504008.0,-851400.0,-225998.0,-258054.0
