Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-312343.0,-1450721.0,-165652.0,-136476.0
10,-92066.0,-2124565.0,-69975.0,-136476.0
15,-262456.0,-106915.0,-93858.0,-136476.0
20,-122780.0,-109343.0,-185422.0,-136476.0
25,-160926.0,-153622.0,-102561.0,-136476.0
30,-114381.0,-143150.0,-151194.0,-136476.0
35,-99799.0,-140350.0,-1745793.0,-136476.0
40,-408659.0,-152199.0,-105233.0,-136476.0
45,-386625.0,-331983.0,-136475.0,-136476.0
50,-120753.0,-99155.0,-158000.0,-136476.0
55,-221655.0,-249970.0,-135684.0,-136476.0
60,-203186.0,-831552.0,-152329.0,-136476.0
65,-1632907.0,-118428.0,-131121.0,-136476.0
70,-1536021.0,-263559.0,-269882.0,-136476.0
75,-282701.0,-175144.0,-107450.0,-136476.0
80,-464979.0,-213102.0,-181710.0,-136476.0
85,-126481.0,-121401.0,-188155.0,-136476.0
90,-148849.0,-79839.0,-160915.0,-136476.0
95,-200032.0,-122250.0,-176972.0,-136476.0
100,-220454.0,-130400.0,-131285.0,-136476.0
