scenario,episode,eval_reward
grid4x4,10,-952344.0
grid4x4,20,-802708.0
grid4x4,30,-833549.0
grid4x4,40,-822164.0
grid4x4,50,-758256.0
grid4x4,60,-813167.0
grid4x4,70,-843673.0
grid4x4,80,-858661.0
grid4x4,90,-530164.0
grid4x4,100,-782061.0
grid4x4,110,-648790.0
grid4x4,120,-559313.0
grid4x4,130,-667854.0
grid4x4,140,-622471.0
grid4x4,150,-668836.0
grid4x4,160,-628939.0
grid4x4,170,-722155.0
grid4x4,180,-614779.0
grid4x4,190,-704327.0
grid4x4,200,-590710.0
grid4x4,210,-551940.0
grid4x4,220,-657191.0
grid4x4,230,-481721.0
grid4x4,240,-570439.0
grid4x4,250,-549968.0
grid4x4,260,-552549.0
grid4x4,270,-548575.0
grid4x4,280,-580325.0
grid4x4,290,-384372.0
grid4x4,300,-428878.0
grid4x4,310,-502070.0
grid4x4,320,-627752.0
grid4x4,330,-387321.0
grid4x4,340,-456538.0
grid4x4,350,-370674.0
grid4x4,360,-428853.0
grid4x4,370,-427119.0
grid4x4,380,-328894.0
grid4x4,390,-599360.0
grid4x4,400,-529345.0
grid4x4,410,-599971.0
grid4x4,420,-454978.0
grid4x4,430,-468874.0
grid4x4,440,-532102.0
grid4x4,450,-425072.0
grid4x4,460,-617206.0
grid4x4,470,-381588.0
grid4x4,480,-363301.0
grid4x4,490,-327885.0
grid4x4,500,-495941.0
