Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-1248509.0,-207452.0,-263350.0,-253254.0
10,-216871.0,-1420936.0,-253546.0,-253254.0
15,-168678.0,-1083850.0,-204029.0,-253254.0
20,-293342.0,-173353.0,-178142.0,-253254.0
25,-864469.0,-248910.0,-1247032.0,-253254.0
30,-156153.0,-643571.0,-148744.0,-253254.0
35,-821297.0,-171905.0,-181693.0,-253254.0
40,-210571.0,-1202131.0,-202310.0,-253254.0
45,-285843.0,-196728.0,-142113.0,-253254.0
50,-179254.0,-256307.0,-261736.0,-253254.0
55,-204114.0,-809425.0,-189975.0,-253254.0
60,-145945.0,-767893.0,-710339.0,-253254.0
65,-485924.0,-1067622.0,-1387648.0,-253254.0
70,-180152.0,-290508.0,-1116797.0,-253254.0
75,-392547.0,-224407.0,-585915.0,-253254.0
80,-256668.0,-277221.0,-207719.0,-253254.0
85,-170482.0,-172163.0,-1248583.0,-253254.0
90,-183202.0,-209419.0,-1248509.0,-253254.0
95,-1773590.0,-174722.0,-211377.0,-253254.0
100,-160683.0,-176161.0,-178630.0,-253254.0
