scenario,episode,eval_reward
cross_surge,10,-937151.0
cross_surge,20,-478815.0
cross_surge,30,-2121060.0
cross_surge,40,-1637484.0
cross_surge,50,-1160090.0
cross_surge,60,-1582747.0
cross_surge,70,-1566079.0
cross_surge,80,-1359089.0
cross_surge,90,-1247610.0
cross_surge,100,-84784.0
cross_surge,110,-88972.0
cross_surge,120,-87303.0
cross_surge,130,-88762.0
cross_surge,140,-89551.0
cross_surge,150,-86144.0
cross_surge,160,-80791.0
cross_surge,170,-87415.0
cross_surge,180,-85369.0
cross_surge,190,-92878.0
cross_surge,200,-85079.0
cross_surge,210,-88299.0
cross_surge,220,-91421.0
cross_surge,230,-85028.0
cross_surge,240,-91172.0
cross_surge,250,-90354.0
cross_surge,260,-86896.0
cross_surge,270,-87530.0
cross_surge,280,-93369.0
cross_surge,290,-84121.0
cross_surge,300,-91564.0
cross_surge,310,-1247610.0
cross_surge,320,-84907.0
cross_surge,330,-88406.0
cross_surge,340,-82003.0
cross_surge,350,-89946.0
cross_surge,360,-88580.0
cross_surge,370,-81965.0
cross_surge,380,-86068.0
cross_surge,390,-78138.0
cross_surge,400,-82096.0
cross_surge,410,-82900.0
cross_surge,420,-84885.0
cross_surge,430,-83371.0
cross_surge,440,-81998.0
cross_surge,450,-85517.0
cross_surge,460,-86778.0
cross_surge,470,-80961.0
cross_surge,480,-85165.0
cross_surge,490,-86123.0
cross_surge,500,-85150.0
