Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-1416485.0,-1323903.0,-255608.0,-254166.0
10,-322259.0,-1408202.0,-149405.0,-254166.0
15,-1440840.0,-252470.0,-167606.0,-254166.0
20,-1002912.0,-148681.0,-827262.0,-254166.0
25,-408264.0,-236348.0,-1364278.0,-254166.0
30,-384471.0,-143523.0,-336507.0,-254166.0
35,-238280.0,-185890.0,-1303710.0,-254166.0
40,-222421.0,-182423.0,-291091.0,-254166.0
45,-356155.0,-581773.0,-1673030.0,-254166.0
50,-246553.0,-355256.0,-1096064.0,-254166.0
55,-229261.0,-253825.0,-662498.0,-254166.0
60,-197589.0,-311566.0,-182559.0,-254166.0
65,-311468.0,-172609.0,-157055.0,-254166.0
70,-830626.0,-178397.0,-1155921.0,-254166.0
75,-241986.0,-179786.0,-661171.0,-254166.0
80,-195317.0,-194688.0,-306722.0,-254166.0
85,-586495.0,-1420023.0,-168956.0,-254166.0
90,-694619.0,-232865.0,-460514.0,-254166.0
95,-1010913.0,-310159.0,-843119.0,-254166.0
100,-236364.0,-163811.0,-145893.0,-254166.0
