Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
5,-65367.0,-90689.0,-561514.0,-40549.0,-173381.0
10,-83022.0,-89711.0,-71854.0,-40549.0,-173381.0
15,-150954.0,-136446.0,-98210.0,-40549.0,-173381.0
20,-154116.0,-750607.0,-689998.0,-40549.0,-173381.0
25,-396070.0,-59371.0,-68245.0,-40549.0,-173381.0
30,-29631.0,-401187.0,-153191.0,-40549.0,-173381.0
35,-509952.0,-56730.0,-111595.0,-40549.0,-173381.0
40,-156374.0,-118476.0,-197103.0,-40549.0,-173381.0
45,-625220.0,-167957.0,-117719.0,-40549.0,-173381.0
50,-55867.0,-102342.0,-591849.0,-40549.0,-173381.0
55,-295477.0,-139493.0,-105641.0,-40549.0,-173381.0
60,-105810.0,-345838.0,-66387.0,-40549.0,-173381.0
65,-154128.0,-116055.0,-117011.0,-40549.0,-173381.0
70,-148594.0,-277203.0,-120561.0,-40549.0,-173381.0
75,-204324.0,-346363.0,-62996.0,-40549.0,-173381.0
80,-542166.0,-154283.0,-126184.0,-40549.0,-173381.0
85,-44958.0,-202711.0,-46125.0,-40549.0,-173381.0
90,-99346.0,-94746.0,-48289.0,-40549.0,-173381.0
95,-58029.0,-147724.0,-283242.0,-40549.0,-173381.0
100,-198165.0,-190161.0,-109257.0,-40549.0,-173381.0
