Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
10,-57294.0,-115551.0,-60627.0,-141136.0
20,-350526.0,-98379.0,-121802.0,-141136.0
30,-117612.0,-515111.0,-109056.0,-141136.0
40,-188136.0,-109328.0,-729269.0,-141136.0
50,-309265.0,-89444.0,-885099.0,-141136.0
60,-1270026.0,-105389.0,-144130.0,-141136.0
70,-151249.0,-97381.0,-135892.0,-141136.0
80,-240015.0,-91175.0,-913982.0,-141136.0
90,-1213132.0,-64352.0,-120380.0,-141136.0
100,-162773.0,-85860.0,-2036411.0,-141136.0
110,-257252.0,-92210.0,-125270.0,-141136.0
120,-2522394.0,-184313.0,-255735.0,-141136.0
130,-586673.0,-110524.0,-193062.0,-141136.0
140,-508364.0,-118716.0,-182784.0,-141136.0
150,-141533.0,-156931.0,-142591.0,-141136.0
160,-296824.0,-105446.0,-128717.0,-141136.0
170,-707237.0,-260840.0,-151857.0,-141136.0
180,-1852180.0,-559526.0,-1603898.0,-141136.0
190,-388465.0,-141878.0,-1819403.0,-141136.0
200,-1768736.0,-198873.0,-144148.0,-141136.0
210,-826908.0,-1739394.0,-358642.0,-141136.0
220,-134075.0,-192220.0,-532402.0,-141136.0
230,-1155337.0,-89917.0,-121790.0,-141136.0
240,-244658.0,-171611.0,-166626.0,-141136.0
250,-328488.0,-124520.0,-247729.0,-141136.0
260,-304132.0,-160211.0,-145126.0,-141136.0
270,-604417.0,-159992.0,-139336.0,-141136.0
280,-187629.0,-175509.0,-127302.0,-141136.0
290,-216407.0,-309657.0,-119985.0,-141136.0
300,-125418.0,-103505.0,-111533.0,-141136.0
310,-370335.0,-126756.0,-92951.0,-141136.0
320,-520058.0,-90453.0,-132579.0,-141136.0
330,-423299.0,-170533.0,-97267.0,-141136.0
340,-192803.0,-124064.0,-113660.0,-141136.0
350,-362359.0,-179462.0,-123401.0,-141136.0
360,-197043.0,-914024.0,-98415.0,-141136.0
370,-128943.0,-377078.0,-115819.0,-141136.0
380,-152731.0,-101729.0,-142449.0,-141136.0
390,-192104.0,-196842.0,-209348.0,-141136.0
400,-208275.0,-223829.0,-113240.0,-141136.0
410,-229432.0,-137934.0,-85219.0,-141136.0
420,-137704.0,-68065.0,-88841.0,-141136.0
430,-169131.0,-214573.0,-94911.0,-141136.0
440,-199189.0,-115461.0,-129247.0,-141136.0
450,-133972.0,-112605.0,-84590.0,-141136.0
460,-133829.0,-107422.0,-102307.0,-141136.0
470,-457512.0,-62003.0,-91412.0,-141136.0
480,-134557.0,-127378.0,-90996.0,-141136.0
490,-148022.0,-163627.0,-108766.0,-141136.0
500,-116047.0,-79098.0,-138899.0,-141136.0
