Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
10,-591362.0,-536499.0,-593000.0,-30696.0,-47159.0
20,-614981.0,-405559.0,-413055.0,-30696.0,-47159.0
30,-601286.0,-386653.0,-427371.0,-30696.0,-47159.0
40,-612311.0,-425486.0,-443598.0,-30696.0,-47159.0
50,-719711.0,-451640.0,-276708.0,-30696.0,-47159.0
60,-571520.0,-441675.0,-265497.0,-30696.0,-47159.0
70,-585139.0,-516618.0,-367353.0,-30696.0,-47159.0
80,-276968.0,-296975.0,-556638.0,-30696.0,-47159.0
90,-533118.0,-400149.0,-470311.0,-30696.0,-47159.0
100,-440943.0,-269724.0,-420304.0,-30696.0,-47159.0
110,-304980.0,-383409.0,-415645.0,-30696.0,-47159.0
120,-628561.0,-449237.0,-457691.0,-30696.0,-47159.0
130,-539808.0,-425575.0,-416007.0,-30696.0,-47159.0
140,-271735.0,-574847.0,-391349.0,-30696.0,-47159.0
150,-467121.0,-401905.0,-349636.0,-30696.0,-47159.0
160,-521240.0,-568277.0,-217549.0,-30696.0,-47159.0
170,-451697.0,-444536.0,-206501.0,-30696.0,-47159.0
180,-317046.0,-577784.0,-238298.0,-30696.0,-47159.0
190,-377702.0,-360987.0,-456845.0,-30696.0,-47159.0
200,-399812.0,-534936.0,-324782.0,-30696.0,-47159.0
210,-264785.0,-669104.0,-305299.0,-30696.0,-47159.0
220,-411522.0,-584353.0,-347497.0,-30696.0,-47159.0
230,-320866.0,-375213.0,-372519.0,-30696.0,-47159.0
240,-409616.0,-523579.0,-390627.0,-30696.0,-47159.0
250,-354920.0,-360577.0,-381156.0,-30696.0,-47159.0
260,-375275.0,-494947.0,-405799.0,-30696.0,-47159.0
270,-478303.0,-385063.0,-161255.0,-30696.0,-47159.0
280,-541676.0,-473137.0,-203707.0,-30696.0,-47159.0
290,-494083.0,-456486.0,-425021.0,-30696.0,-47159.0
300,-524234.0,-569119.0,-462780.0,-30696.0,-47159.0
310,-495334.0,-480538.0,-408720.0,-30696.0,-47159.0
320,-534244.0,-479320.0,-413655.0,-30696.0,-47159.0
330,-489172.0,-537480.0,-442221.0,-30696.0,-47159.0
340,-445802.0,-391738.0,-510654.0,-30696.0,-47159.0
350,-545140.0,-400777.0,-491960.0,-30696.0,-47159.0
360,-511287.0,-214855.0,-513035.0,-30696.0,-47159.0
370,-452219.0,-425226.0,-374174.0,-30696.0,-47159.0
380,-581898.0,-432645.0,-332898.0,-30696.0,-47159.0
390,-475480.0,-415047.0,-284535.0,-30696.0,-47159.0
400,-513183.0,-629669.0,-277825.0,-30696.0,-47159.0
410,-442993.0,-405219.0,-163310.0,-30696.0,-47159.0
420,-373893.0,-389237.0,-155922.0,-30696.0,-47159.0
430,-229408.0,-550599.0,-193789.0,-30696.0,-47159.0
440,-672854.0,-387246.0,-235333.0,-30696.0,-47159.0
450,-252173.0,-386535.0,-131560.0,-30696.0,-47159.0
460,-489077.0,-522123.0,-108983.0,-30696.0,-47159.0
470,-318528.0,-337630.0,-144497.0,-30696.0,-47159.0
480,-686457.0,-437279.0,-114799.0,-30696.0,-47159.0
490,-451500.0,-572364.0,-233433.0,-30696.0,-47159.0
500,-436365.0,-479347.0,-240694.0,-30696.0,-47159.0
