Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
5,-517391.0,-59380.0,-152263.0,-43786.0,-177275.0
10,-108868.0,-288695.0,-170577.0,-43786.0,-177275.0
15,-299130.0,-291978.0,-122418.0,-43786.0,-177275.0
20,-131012.0,-182654.0,-86068.0,-43786.0,-177275.0
25,-148080.0,-155529.0,-68912.0,-43786.0,-177275.0
30,-84114.0,-306821.0,-76710.0,-43786.0,-177275.0
35,-178529.0,-223360.0,-514245.0,-43786.0,-177275.0
40,-95688.0,-40322.0,-49248.0,-43786.0,-177275.0
45,-258624.0,-216915.0,-394049.0,-43786.0,-177275.0
50,-237659.0,-103129.0,-55210.0,-43786.0,-177275.0
55,-203869.0,-258660.0,-276424.0,-43786.0,-177275.0
60,-220327.0,-203000.0,-42644.0,-43786.0,-177275.0
65,-318113.0,-336486.0,-84235.0,-43786.0,-177275.0
70,-109337.0,-155655.0,-334285.0,-43786.0,-177275.0
75,-143515.0,-704621.0,-167569.0,-43786.0,-177275.0
80,-265512.0,-291979.0,-571110.0,-43786.0,-177275.0
85,-179712.0,-145984.0,-150111.0,-43786.0,-177275.0
90,-129996.0,-183775.0,-299523.0,-43786.0,-177275.0
95,-160871.0,-71597.0,-100236.0,-43786.0,-177275.0
100,-384176.0,-248834.0,-73342.0,-43786.0,-177275.0
