Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-78937.0,-1820618.0,-1595061.0,-143467.0
10,-100667.0,-1805647.0,-132210.0,-143467.0
15,-181864.0,-106833.0,-67369.0,-143467.0
20,-1196166.0,-165322.0,-132026.0,-143467.0
25,-198536.0,-133127.0,-215830.0,-143467.0
30,-168315.0,-192715.0,-163219.0,-143467.0
35,-144435.0,-177825.0,-131276.0,-143467.0
40,-107916.0,-226108.0,-181572.0,-143467.0
45,-412267.0,-1892042.0,-218877.0,-143467.0
50,-139911.0,-137946.0,-162290.0,-143467.0
55,-549123.0,-442948.0,-466518.0,-143467.0
60,-578810.0,-384194.0,-99074.0,-143467.0
65,-332090.0,-241466.0,-125894.0,-143467.0
70,-734144.0,-211690.0,-125338.0,-143467.0
75,-82713.0,-129984.0,-87605.0,-143467.0
80,-131465.0,-141675.0,-123461.0,-143467.0
85,-319045.0,-94163.0,-299303.0,-143467.0
90,-1082912.0,-192834.0,-324018.0,-143467.0
95,-753859.0,-155450.0,-254927.0,-143467.0
100,-110031.0,-115189.0,-162851.0,-143467.0
