scenario,episode,eval_reward
dense_wave,10,-144381.0
dense_wave,20,-1177688.0
dense_wave,30,-2382216.0
dense_wave,40,-1914171.0
dense_wave,50,-442045.0
dense_wave,60,-1042134.0
dense_wave,70,-339619.0
dense_wave,80,-490205.0
dense_wave,90,-843939.0
dense_wave,100,-89108.0
dense_wave,110,-87044.0
dense_wave,120,-172203.0
dense_wave,130,-240165.0
dense_wave,140,-43819.0
dense_wave,150,-62923.0
dense_wave,160,-55827.0
dense_wave,170,-41175.0
dense_wave,180,-55612.0
dense_wave,190,-40223.0
dense_wave,200,-58854.0
dense_wave,210,-39767.0
dense_wave,220,-42351.0
dense_wave,230,-37386.0
dense_wave,240,-43284.0
dense_wave,250,-50737.0
dense_wave,260,-43554.0
dense_wave,270,-46744.0
dense_wave,280,-44926.0
dense_wave,290,-55357.0
dense_wave,300,-71705.0
dense_wave,310,-51507.0
dense_wave,320,-49476.0
dense_wave,330,-52084.0
dense_wave,340,-50707.0
dense_wave,350,-49847.0
dense_wave,360,-50045.0
dense_wave,370,-48461.0
dense_wave,380,-50870.0
dense_wave,390,-45269.0
dense_wave,400,-44053.0
dense_wave,410,-46382.0
dense_wave,420,-45211.0
dense_wave,430,-41551.0
dense_wave,440,-57342.0
dense_wave,450,-52926.0
dense_wave,460,-45568.0
dense_wave,470,-38635.0
dense_wave,480,-48464.0
dense_wave,490,-48136.0
dense_wave,500,-47750.0
