Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
5,-900735.0,-861812.0,-853780.0,-31363.0,-46744.0
10,-885125.0,-790985.0,-824894.0,-31363.0,-46744.0
15,-1019477.0,-965689.0,-841118.0,-31363.0,-46744.0
20,-739297.0,-839932.0,-838612.0,-31363.0,-46744.0
25,-999100.0,-905194.0,-590652.0,-31363.0,-46744.0
30,-1030549.0,-809538.0,-760604.0,-31363.0,-46744.0
35,-816406.0,-869158.0,-716933.0,-31363.0,-46744.0
40,-937287.0,-892519.0,-816527.0,-31363.0,-46744.0
45,-1018546.0,-841642.0,-812707.0,-31363.0,-46744.0
50,-892941.0,-1021705.0,-793026.0,-31363.0,-46744.0
55,-792121.0,-798520.0,-840099.0,-31363.0,-46744.0
60,-805779.0,-902854.0,-903187.0,-31363.0,-46744.0
65,-996080.0,-887916.0,-929767.0,-31363.0,-46744.0
70,-732389.0,-1020962.0,-806416.0,-31363.0,-46744.0
75,-851822.0,-858563.0,-803648.0,-31363.0,-46744.0
80,-984799.0,-826383.0,-812005.0,-31363.0,-46744.0
85,-961756.0,-897791.0,-742416.0,-31363.0,-46744.0
90,-841651.0,-960463.0,-689941.0,-31363.0,-46744.0
95,-1032945.0,-940326.0,-795576.0,-31363.0,-46744.0
100,-1005223.0,-942329.0,-883939.0,-31363.0,-46744.0
