Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
10,-1447375.0,-1344385.0,-1334421.0,-255828.0
20,-829354.0,-1481250.0,-220949.0,-255828.0
30,-1334421.0,-229416.0,-1607909.0,-255828.0
40,-1334421.0,-201746.0,-1055258.0,-255828.0
50,-196219.0,-161910.0,-927063.0,-255828.0
60,-150047.0,-176757.0,-1302167.0,-255828.0
70,-892460.0,-169881.0,-949084.0,-255828.0
80,-174219.0,-193920.0,-1003433.0,-255828.0
90,-1421483.0,-178680.0,-400667.0,-255828.0
100,-225391.0,-156260.0,-1056287.0,-255828.0
110,-195751.0,-242343.0,-1388058.0,-255828.0
120,-181506.0,-171446.0,-179081.0,-255828.0
130,-236241.0,-810824.0,-1247610.0,-255828.0
140,-189123.0,-203898.0,-1247610.0,-255828.0
150,-189567.0,-275455.0,-432989.0,-255828.0
160,-202069.0,-216675.0,-1681172.0,-255828.0
170,-823517.0,-193739.0,-1243091.0,-255828.0
180,-235962.0,-1713285.0,-1279036.0,-255828.0
190,-878770.0,-163474.0,-308231.0,-255828.0
200,-1792478.0,-166607.0,-728841.0,-255828.0
210,-764688.0,-199666.0,-415358.0,-255828.0
220,-598933.0,-150070.0,-208201.0,-255828.0
230,-180093.0,-174278.0,-1660126.0,-255828.0
240,-182228.0,-193724.0,-471570.0,-255828.0
250,-248877.0,-533740.0,-437538.0,-255828.0
260,-307985.0,-216146.0,-282135.0,-255828.0
270,-1701790.0,-242832.0,-166213.0,-255828.0
280,-151747.0,-192426.0,-212179.0,-255828.0
290,-186130.0,-156499.0,-206134.0,-255828.0
300,-322980.0,-178699.0,-233683.0,-255828.0
310,-1495291.0,-1505626.0,-900228.0,-255828.0
320,-1322395.0,-240421.0,-198538.0,-255828.0
330,-233441.0,-596016.0,-1784998.0,-255828.0
340,-1690958.0,-183148.0,-1210844.0,-255828.0
350,-357829.0,-181505.0,-431000.0,-255828.0
360,-202716.0,-180682.0,-200556.0,-255828.0
370,-300284.0,-175625.0,-277761.0,-255828.0
380,-779028.0,-1040679.0,-180123.0,-255828.0
390,-253170.0,-1502797.0,-191901.0,-255828.0
400,-171504.0,-239423.0,-367438.0,-255828.0
410,-201806.0,-1401862.0,-217549.0,-255828.0
420,-198491.0,-197167.0,-142649.0,-255828.0
430,-154725.0,-187243.0,-134932.0,-255828.0
440,-899808.0,-902073.0,-242754.0,-255828.0
450,-195632.0,-134436.0,-171063.0,-255828.0
460,-202865.0,-158113.0,-173881.0,-255828.0
470,-231491.0,-249560.0,-167184.0,-255828.0
480,-222827.0,-1258687.0,-152569.0,-255828.0
490,-233569.0,-945153.0,-218557.0,-255828.0
500,-228288.0,-145793.0,-292212.0,-255828.0
