scenario,episode,eval_reward
cologne3,10,-2201609.0
cologne3,20,-7888.0
cologne3,30,-10204.0
cologne3,40,-35187.0
cologne3,50,-50445.0
cologne3,60,-17306.0
cologne3,70,-6850.0
cologne3,80,-6634.0
cologne3,90,-4564.0
cologne3,100,-4588.0
cologne3,110,-6766.0
cologne3,120,-3756.0
cologne3,130,-4153.0
cologne3,140,-4160.0
cologne3,150,-3714.0
cologne3,160,-4147.0
cologne3,170,-3835.0
cologne3,180,-8094.0
cologne3,190,-4416.0
cologne3,200,-14045.0
cologne3,210,-9372.0
cologne3,220,-11863.0
cologne3,230,-10524.0
cologne3,240,-21850.0
cologne3,250,-10531.0
cologne3,260,-10126.0
cologne3,270,-7385.0
cologne3,280,-4350.0
cologne3,290,-5979.0
cologne3,300,-3759.0
cologne3,310,-4160.0
cologne3,320,-4090.0
cologne3,330,-5053.0
cologne3,340,-3902.0
cologne3,350,-4181.0
cologne3,360,-5190.0
cologne3,370,-5715.0
cologne3,380,-5206.0
cologne3,390,-3917.0
cologne3,400,-4404.0
cologne3,410,-3661.0
cologne3,420,-4067.0
cologne3,430,-3958.0
cologne3,440,-4179.0
cologne3,450,-4179.0
cologne3,460,-3594.0
cologne3,470,-3830.0
cologne3,480,-5856.0
cologne3,490,-4761.0
cologne3,500,-4179.0
