scenario,episode,eval_reward
baseline,10,-144395.0
baseline,20,-47198.0
baseline,30,-1000814.0
baseline,40,-58125.0
baseline,50,-36479.0
baseline,60,-24592.0
baseline,70,-42472.0
baseline,80,-28911.0
baseline,90,-26437.0
baseline,100,-25340.0
baseline,110,-23458.0
baseline,120,-24651.0
baseline,130,-24564.0
baseline,140,-28063.0
baseline,150,-26928.0
baseline,160,-25557.0
baseline,170,-27295.0
baseline,180,-25822.0
baseline,190,-23653.0
baseline,200,-26707.0
baseline,210,-25672.0
baseline,220,-27026.0
baseline,230,-26754.0
baseline,240,-22968.0
baseline,250,-24142.0
baseline,260,-25841.0
baseline,270,-25355.0
baseline,280,-23922.0
baseline,290,-23828.0
baseline,300,-23931.0
baseline,310,-26086.0
baseline,320,-25741.0
baseline,330,-22802.0
baseline,340,-24876.0
baseline,350,-23859.0
baseline,360,-23672.0
baseline,370,-26292.0
baseline,380,-24301.0
baseline,390,-23015.0
baseline,400,-26001.0
baseline,410,-24919.0
baseline,420,-30055.0
baseline,430,-24681.0
baseline,440,-22536.0
baseline,450,-24579.0
baseline,460,-28254.0
baseline,470,-25582.0
baseline,480,-23264.0
baseline,490,-25687.0
baseline,500,-24587.0
