scenario,episode,eval_reward
baseline,10,-255684.0
baseline,20,-28963.0
baseline,30,-28395.0
baseline,40,-40391.0
baseline,50,-28669.0
baseline,60,-31920.0
baseline,70,-28368.0
baseline,80,-24636.0
baseline,90,-29818.0
baseline,100,-26643.0
baseline,110,-25005.0
baseline,120,-28988.0
baseline,130,-24670.0
baseline,140,-25209.0
baseline,150,-26197.0
baseline,160,-27481.0
baseline,170,-24732.0
baseline,180,-24080.0
baseline,190,-25405.0
baseline,200,-22183.0
baseline,210,-25602.0
baseline,220,-22246.0
baseline,230,-23220.0
baseline,240,-23353.0
baseline,250,-20682.0
baseline,260,-25032.0
baseline,270,-26163.0
baseline,280,-26238.0
baseline,290,-24106.0
baseline,300,-26087.0
baseline,310,-25711.0
baseline,320,-23777.0
baseline,330,-26818.0
baseline,340,-25734.0
baseline,350,-25601.0
baseline,360,-28907.0
baseline,370,-23711.0
baseline,380,-27356.0
baseline,390,-23283.0
baseline,400,-24628.0
baseline,410,-25681.0
baseline,420,-26181.0
baseline,430,-24573.0
baseline,440,-23210.0
baseline,450,-25575.0
baseline,460,-21364.0
baseline,470,-25340.0
baseline,480,-25333.0
baseline,490,-22774.0
baseline,500,-22055.0
