Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
10,-173329.0,-257889.0,-85684.0,-43650.0,-176851.0
20,-720877.0,-84659.0,-110313.0,-43650.0,-176851.0
30,-36477.0,-716307.0,-25352.0,-43650.0,-176851.0
40,-205915.0,-409630.0,-38202.0,-43650.0,-176851.0
50,-35923.0,-663568.0,-25214.0,-43650.0,-176851.0
60,-416152.0,-273420.0,-37125.0,-43650.0,-176851.0
70,-92765.0,-299441.0,-14947.0,-43650.0,-176851.0
80,-76857.0,-186634.0,-8098.0,-43650.0,-176851.0
90,-66796.0,-34270.0,-24499.0,-43650.0,-176851.0
100,-46487.0,-206424.0,-14288.0,-43650.0,-176851.0
110,-36239.0,-61985.0,-15880.0,-43650.0,-176851.0
120,-79656.0,-428890.0,-250029.0,-43650.0,-176851.0
130,-22692.0,-311447.0,-10487.0,-43650.0,-176851.0
140,-103309.0,-337770.0,-12083.0,-43650.0,-176851.0
150,-43848.0,-289563.0,-6928.0,-43650.0,-176851.0
160,-55555.0,-490316.0,-11048.0,-43650.0,-176851.0
170,-14306.0,-32369.0,-9492.0,-43650.0,-176851.0
180,-15268.0,-318857.0,-6877.0,-43650.0,-176851.0
190,-63699.0,-820176.0,-30079.0,-43650.0,-176851.0
200,-26395.0,-394590.0,-6868.0,-43650.0,-176851.0
210,-21783.0,-85482.0,-5037.0,-43650.0,-176851.0
220,-91763.0,-373641.0,-5200.0,-43650.0,-176851.0
230,-17134.0,-353276.0,-4956.0,-43650.0,-176851.0
240,-35606.0,-160047.0,-4500.0,-43650.0,-176851.0
250,-28456.0,-348370.0,-8979.0,-43650.0,-176851.0
260,-25648.0,-1238810.0,-4820.0,-43650.0,-176851.0
270,-23545.0,-247580.0,-4897.0,-43650.0,-176851.0
280,-54642.0,-685913.0,-3679.0,-43650.0,-176851.0
290,-310471.0,-596291.0,-5651.0,-43650.0,-176851.0
300,-27546.0,-226198.0,-5781.0,-43650.0,-176851.0
310,-12563.0,-261878.0,-4659.0,-43650.0,-176851.0
320,-441524.0,-19752.0,-4232.0,-43650.0,-176851.0
330,-5330.0,-53303.0,-5210.0,-43650.0,-176851.0
340,-9212.0,-235859.0,-4530.0,-43650.0,-176851.0
350,-6895.0,-176220.0,-5333.0,-43650.0,-176851.0
360,-7264.0,-41351.0,-6091.0,-43650.0,-176851.0
370,-11487.0,-41769.0,-5234.0,-43650.0,-176851.0
380,-7721.0,-151028.0,-4641.0,-43650.0,-176851.0
390,-8349.0,-293721.0,-6976.0,-43650.0,-176851.0
400,-12048.0,-251051.0,-4908.0,-43650.0,-176851.0
410,-9673.0,-102518.0,-13045.0,-43650.0,-176851.0
420,-7640.0,-34824.0,-5041.0,-43650.0,-176851.0
430,-9137.0,-118901.0,-4209.0,-43650.0,-176851.0
440,-6585.0,-27138.0,-4241.0,-43650.0,-176851.0
450,-6974.0,-186112.0,-5674.0,-43650.0,-176851.0
460,-8032.0,-41358.0,-5596.0,-43650.0,-176851.0
470,-8415.0,-8409.0,-5372.0,-43650.0,-176851.0
480,-7306.0,-6933.0,-5815.0,-43650.0,-176851.0
490,-10123.0,-236034.0,-5346.0,-43650.0,-176851.0
500,-14127.0,-6737.0,-6225.0,-43650.0,-176851.0
