scenario,episode,eval_reward
dense_wave,10,-1073189.0
dense_wave,20,-815074.0
dense_wave,30,-541181.0
dense_wave,40,-76512.0
dense_wave,50,-62042.0
dense_wave,60,-55951.0
dense_wave,70,-93374.0
dense_wave,80,-43879.0
dense_wave,90,-75609.0
dense_wave,100,-51343.0
dense_wave,110,-54211.0
dense_wave,120,-45815.0
dense_wave,130,-62071.0
dense_wave,140,-46632.0
dense_wave,150,-41765.0
dense_wave,160,-47912.0
dense_wave,170,-42609.0
dense_wave,180,-33062.0
dense_wave,190,-42135.0
dense_wave,200,-43040.0
dense_wave,210,-54368.0
dense_wave,220,-50413.0
dense_wave,230,-47938.0
dense_wave,240,-45054.0
dense_wave,250,-48408.0
dense_wave,260,-40193.0
dense_wave,270,-91526.0
dense_wave,280,-99606.0
dense_wave,290,-176723.0
dense_wave,300,-126405.0
dense_wave,310,-63800.0
dense_wave,320,-124319.0
dense_wave,330,-94219.0
dense_wave,340,-53302.0
dense_wave,350,-70511.0
dense_wave,360,-74912.0
dense_wave,370,-56798.0
dense_wave,380,-50069.0
dense_wave,390,-61223.0
dense_wave,400,-46424.0
dense_wave,410,-72832.0
dense_wave,420,-45036.0
dense_wave,430,-54384.0
dense_wave,440,-72648.0
dense_wave,450,-41592.0
dense_wave,460,-38205.0
dense_wave,470,-35190.0
dense_wave,480,-49174.0
dense_wave,490,-45306.0
dense_wave,500,-52864.0
