scenario,episode,eval_reward
dense_wave,10,-70942.0
dense_wave,20,-50647.0
dense_wave,30,-1067748.0
dense_wave,40,-899957.0
dense_wave,50,-881332.0
dense_wave,60,-1413278.0
dense_wave,70,-485851.0
dense_wave,80,-120561.0
dense_wave,90,-199366.0
dense_wave,100,-369611.0
dense_wave,110,-156368.0
dense_wave,120,-182987.0
dense_wave,130,-50745.0
dense_wave,140,-52475.0
dense_wave,150,-48791.0
dense_wave,160,-48640.0
dense_wave,170,-45573.0
dense_wave,180,-47280.0
dense_wave,190,-46797.0
dense_wave,200,-42264.0
dense_wave,210,-49953.0
dense_wave,220,-55084.0
dense_wave,230,-33629.0
dense_wave,240,-37770.0
dense_wave,250,-43247.0
dense_wave,260,-42153.0
dense_wave,270,-49883.0
dense_wave,280,-43733.0
dense_wave,290,-39652.0
dense_wave,300,-44430.0
dense_wave,310,-41924.0
dense_wave,320,-33335.0
dense_wave,330,-45078.0
dense_wave,340,-42118.0
dense_wave,350,-33887.0
dense_wave,360,-38118.0
dense_wave,370,-56225.0
dense_wave,380,-42836.0
dense_wave,390,-40774.0
dense_wave,400,-47247.0
dense_wave,410,-40277.0
dense_wave,420,-39376.0
dense_wave,430,-40062.0
dense_wave,440,-63618.0
dense_wave,450,-41200.0
dense_wave,460,-64495.0
dense_wave,470,-127180.0
dense_wave,480,-44712.0
dense_wave,490,-36472.0
dense_wave,500,-37763.0
