Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
10,-92163.0,-87990.0,-116104.0,-143467.0
20,-110398.0,-170356.0,-98448.0,-143467.0
30,-154588.0,-125636.0,-109828.0,-143467.0
40,-297368.0,-82442.0,-998708.0,-143467.0
50,-211999.0,-105771.0,-169954.0,-143467.0
60,-344227.0,-101988.0,-99817.0,-143467.0
70,-834283.0,-148373.0,-254386.0,-143467.0
80,-138992.0,-123164.0,-97388.0,-143467.0
90,-133080.0,-274265.0,-387852.0,-143467.0
100,-114341.0,-307354.0,-137432.0,-143467.0
110,-234773.0,-281369.0,-839752.0,-143467.0
120,-511373.0,-217908.0,-80403.0,-143467.0
130,-837752.0,-118175.0,-166754.0,-143467.0
140,-143208.0,-1542107.0,-153188.0,-143467.0
150,-141267.0,-275965.0,-162925.0,-143467.0
160,-407111.0,-81300.0,-156278.0,-143467.0
170,-1279518.0,-132176.0,-105149.0,-143467.0
180,-775517.0,-81834.0,-195646.0,-143467.0
190,-314978.0,-142550.0,-339046.0,-143467.0
200,-97553.0,-75652.0,-96413.0,-143467.0
210,-204824.0,-73969.0,-268748.0,-143467.0
220,-757940.0,-212463.0,-186114.0,-143467.0
230,-1786412.0,-100136.0,-154484.0,-143467.0
240,-170389.0,-155427.0,-147118.0,-143467.0
250,-1006764.0,-103435.0,-126698.0,-143467.0
260,-303881.0,-363854.0,-84705.0,-143467.0
270,-111896.0,-204344.0,-138675.0,-143467.0
280,-428918.0,-189581.0,-442927.0,-143467.0
290,-321715.0,-125848.0,-290057.0,-143467.0
300,-1388984.0,-111862.0,-192462.0,-143467.0
310,-112350.0,-119888.0,-1570186.0,-143467.0
320,-218979.0,-200054.0,-663604.0,-143467.0
330,-2323449.0,-329747.0,-196254.0,-143467.0
340,-221003.0,-280083.0,-124727.0,-143467.0
350,-229615.0,-98372.0,-810703.0,-143467.0
360,-119800.0,-131590.0,-131944.0,-143467.0
370,-107389.0,-127724.0,-70850.0,-143467.0
380,-120834.0,-81381.0,-96559.0,-143467.0
390,-500619.0,-97283.0,-221673.0,-143467.0
400,-201219.0,-99014.0,-450639.0,-143467.0
410,-207614.0,-176000.0,-163133.0,-143467.0
420,-137338.0,-161469.0,-116878.0,-143467.0
430,-159363.0,-214544.0,-85445.0,-143467.0
440,-129788.0,-102614.0,-111265.0,-143467.0
450,-128580.0,-129119.0,-106720.0,-143467.0
460,-446083.0,-159166.0,-139447.0,-143467.0
470,-207814.0,-120961.0,-66720.0,-143467.0
480,-1675504.0,-123291.0,-111684.0,-143467.0
490,-136041.0,-110925.0,-65246.0,-143467.0
500,-176979.0,-92658.0,-78925.0,-143467.0
