scenario,episode,eval_reward
cross_surge,10,-121871.0
cross_surge,20,-641158.0
cross_surge,30,-988081.0
cross_surge,40,-105963.0
cross_surge,50,-105074.0
cross_surge,60,-214046.0
cross_surge,70,-96371.0
cross_surge,80,-1248509.0
cross_surge,90,-95257.0
cross_surge,100,-96801.0
cross_surge,110,-99366.0
cross_surge,120,-94386.0
cross_surge,130,-92195.0
cross_surge,140,-91680.0
cross_surge,150,-85274.0
cross_surge,160,-90948.0
cross_surge,170,-86442.0
cross_surge,180,-81262.0
cross_surge,190,-85852.0
cross_surge,200,-92788.0
cross_surge,210,-88179.0
cross_surge,220,-82568.0
cross_surge,230,-85692.0
cross_surge,240,-81846.0
cross_surge,250,-84640.0
cross_surge,260,-82736.0
cross_surge,270,-83963.0
cross_surge,280,-80626.0
cross_surge,290,-77726.0
cross_surge,300,-89640.0
cross_surge,310,-82947.0
cross_surge,320,-77046.0
cross_surge,330,-80514.0
cross_surge,340,-82035.0
cross_surge,350,-83079.0
cross_surge,360,-83215.0
cross_surge,370,-80927.0
cross_surge,380,-88444.0
cross_surge,390,-88069.0
cross_surge,400,-91274.0
cross_surge,410,-89660.0
cross_surge,420,-81923.0
cross_surge,430,-87097.0
cross_surge,440,-93353.0
cross_surge,450,-97612.0
cross_surge,460,-83334.0
cross_surge,470,-85264.0
cross_surge,480,-85477.0
cross_surge,490,-88245.0
cross_surge,500,-81366.0
