scenario,episode,eval_reward
dense_wave,10,-1501480.0
dense_wave,20,-129023.0
dense_wave,30,-2583634.0
dense_wave,40,-664104.0
dense_wave,50,-1178725.0
dense_wave,60,-1488891.0
dense_wave,70,-1775422.0
dense_wave,80,-1942455.0
dense_wave,90,-824017.0
dense_wave,100,-995864.0
dense_wave,110,-145232.0
dense_wave,120,-46816.0
dense_wave,130,-44761.0
dense_wave,140,-50419.0
dense_wave,150,-44991.0
dense_wave,160,-31885.0
dense_wave,170,-41515.0
dense_wave,180,-35461.0
dense_wave,190,-30008.0
dense_wave,200,-47847.0
dense_wave,210,-41843.0
dense_wave,220,-44783.0
dense_wave,230,-44472.0
dense_wave,240,-37324.0
dense_wave,250,-47638.0
dense_wave,260,-54234.0
dense_wave,270,-46479.0
dense_wave,280,-49649.0
dense_wave,290,-49195.0
dense_wave,300,-66228.0
dense_wave,310,-55460.0
dense_wave,320,-56904.0
dense_wave,330,-39532.0
dense_wave,340,-49415.0
dense_wave,350,-45041.0
dense_wave,360,-52173.0
dense_wave,370,-50198.0
dense_wave,380,-45512.0
dense_wave,390,-50836.0
dense_wave,400,-67094.0
dense_wave,410,-54714.0
dense_wave,420,-52581.0
dense_wave,430,-57988.0
dense_wave,440,-47443.0
dense_wave,450,-52545.0
dense_wave,460,-38877.0
dense_wave,470,-47910.0
dense_wave,480,-46497.0
dense_wave,490,-44627.0
dense_wave,500,-38186.0
