Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
10,-68386.0,-663668.0,-615703.0,-138674.0
20,-110824.0,-197256.0,-535494.0,-138674.0
30,-90174.0,-152643.0,-220957.0,-138674.0
40,-111312.0,-109278.0,-143421.0,-138674.0
50,-139185.0,-98116.0,-80896.0,-138674.0
60,-253832.0,-93311.0,-293880.0,-138674.0
70,-189589.0,-100917.0,-433068.0,-138674.0
80,-256066.0,-124913.0,-370558.0,-138674.0
90,-135279.0,-160820.0,-133363.0,-138674.0
100,-321798.0,-224408.0,-233706.0,-138674.0
110,-148366.0,-110176.0,-367423.0,-138674.0
120,-258676.0,-102924.0,-111894.0,-138674.0
130,-142801.0,-310067.0,-154678.0,-138674.0
140,-227272.0,-145267.0,-188260.0,-138674.0
150,-240513.0,-149224.0,-132246.0,-138674.0
160,-136765.0,-156770.0,-1238120.0,-138674.0
170,-1969073.0,-149552.0,-447551.0,-138674.0
180,-490660.0,-311070.0,-155328.0,-138674.0
190,-106957.0,-162347.0,-158974.0,-138674.0
200,-2191422.0,-153928.0,-136149.0,-138674.0
210,-185732.0,-74716.0,-222357.0,-138674.0
220,-1459279.0,-212566.0,-293695.0,-138674.0
230,-160087.0,-202795.0,-142048.0,-138674.0
240,-161709.0,-134999.0,-138845.0,-138674.0
250,-111796.0,-846083.0,-84851.0,-138674.0
260,-159870.0,-122392.0,-294083.0,-138674.0
270,-1240917.0,-261291.0,-112675.0,-138674.0
280,-203448.0,-1170135.0,-114708.0,-138674.0
290,-435274.0,-105492.0,-1230250.0,-138674.0
300,-105821.0,-88456.0,-293585.0,-138674.0
310,-339840.0,-77997.0,-131601.0,-138674.0
320,-177184.0,-86033.0,-362381.0,-138674.0
330,-408832.0,-104963.0,-94286.0,-138674.0
340,-289026.0,-176536.0,-95491.0,-138674.0
350,-141262.0,-95623.0,-142307.0,-138674.0
360,-255323.0,-310809.0,-152286.0,-138674.0
370,-58306.0,-211378.0,-111728.0,-138674.0
380,-126043.0,-225394.0,-369065.0,-138674.0
390,-622609.0,-154799.0,-171021.0,-138674.0
400,-81627.0,-115953.0,-152507.0,-138674.0
410,-142507.0,-96663.0,-83715.0,-138674.0
420,-133345.0,-77441.0,-178949.0,-138674.0
430,-127503.0,-116899.0,-203356.0,-138674.0
440,-70977.0,-122923.0,-56237.0,-138674.0
450,-124796.0,-196701.0,-101172.0,-138674.0
460,-111227.0,-207349.0,-88981.0,-138674.0
470,-103448.0,-159369.0,-110295.0,-138674.0
480,-193940.0,-195183.0,-219750.0,-138674.0
490,-309633.0,-87813.0,-102469.0,-138674.0
500,-93110.0,-323839.0,-118317.0,-138674.0
